"degree_name"
"B.Com"
"B.Act"
"B.B.A"
"B.BSc(Accounting and finance)"
"B.A"
"M.A"
"M.Res"
"Ph.D"
"LL.B"
"LL.M"
"B.Sc"
"B.Sc.(Hons:)"
"M.Sc"
"B.Econ.(Eco)"
'B.Econ.(Stats)'
"B.P.A"
"B.Dev.S"
"B.P.S"
"B.B.M"
"M.Econ.(Eco)"
"M.Econ.(Stats)"
"M.P.S"
"M.Com"
"M.Act"
"M.B.A"
"M.B.M"
"M.P.A"
"M.Dev.S"
"M.B.F"
"Ph.D(Economics)"
"Ph.D(Statistics)"
"Ph.D(Commerce)"
"B.Arch"
"B.E"
"B.C.Tech"
"B.C.Sc"
"B.Ed"
"M.C.Sc"
"B.B.Sc"
"Other"
